date,load_mw,gen_wind_mw,gen_solar_mw,gen_thermal_total_mw,gen_thermal_total_kwh,rice_fuel_cost,rice_o_and_m_cost,rice_total_cost,combustion_fuel_cost,combustion_o_and_m_cost,combustion_total_cost
2017-05-28 18:59:59.999257,44.9,4.82185,0.07323437,40.00491563,40004.915629999996,7070.652983741187,420.051614115,7490.704597856187,12720.987560043166,184.02261189799998,12905.010171941167
2017-05-28 19:59:59.999257,44.5,2.45037,0.0,42.04963,42049.63,7432.0452160071945,441.521115,7873.566331007194,13371.177309352517,193.42829799999998,13564.605607352518
2017-05-28 20:59:59.999256,43.9,1.92848,0.0,41.97152,41971.52,7418.239694964028,440.70096,7858.940654964028,13346.339453237411,193.06899199999998,13539.408445237412
2017-05-28 21:59:59.999256,43.0,1.49857,0.0,41.50143,41501.43,7335.153823920864,435.765015,7770.918838920864,13196.857597122304,190.906578,13387.764175122304
2017-05-28 22:59:59.999256,43.0,1.56907,0.0,41.430930000000004,41430.93,7322.6933293165475,435.024765,7757.718094316548,13174.439611510792,190.582278,13365.021889510792
2017-05-28 23:59:59.999256,42.3,2.4169,0.0,39.8831,39883.1,7049.1227284172655,418.77255,7467.895278417265,12682.251942446044,183.46226,12865.714202446045
2017-05-29 00:59:59.999255,38.3,3.0727800000000003,0.0,35.227219999999996,35227.219999999994,6226.221060071941,369.88580999999994,6596.106870071941,11201.749093525179,162.04521199999996,11363.794305525178
2017-05-29 01:59:59.999255,36.5,6.12796,0.0,30.37204,30372.039999999997,5368.09419208633,318.90641999999997,5687.00061208633,9657.871712230215,139.71138399999998,9797.583096230215
2017-05-29 02:59:59.999255,36.2,10.708,0.0,25.492000000000004,25492.000000000004,4505.573453237411,267.66600000000005,4773.239453237411,8106.089208633095,117.26320000000001,8223.352408633094
2017-05-29 03:59:59.999255,34.6,10.2229,0.0,24.377100000000002,24377.100000000002,4308.520893884893,255.95955000000004,4564.480443884893,7751.567050359713,112.13466000000001,7863.701710359713
2017-05-29 04:59:59.999255,34.7,10.9215,0.0,23.7785,23778.5,4202.721573741008,249.67425000000003,4452.395823741008,7561.220863309353,109.3811,7670.601963309353
2017-05-29 05:59:59.999254,34.0,8.24207,0.0,25.75793,25757.93,4552.575145863309,270.45826500000004,4823.03341086331,8190.651122302159,118.486478,8309.13760030216
2017-05-29 06:59:59.999254,35.5,7.94805,0.6739210000000001,26.878028999999998,26878.029,4750.546600413669,282.2193045,5032.765904913669,8546.826487769784,123.63893339999998,8670.465421169783
2017-05-29 07:59:59.999254,38.2,5.73958,4.152019999999999,28.3084,28308.399999999998,5003.356956834532,297.2382,5300.595156834532,9001.663884892087,130.21864,9131.882524892086
2017-05-29 08:59:59.999254,41.2,7.11376,8.62807,25.458170000000003,25458.170000000002,4499.594183273382,267.310785,4766.904968273382,8095.331755395684,117.10758200000001,8212.439337395685
2017-05-29 09:59:59.999254,43.4,9.106819999999999,10.96933,23.32385,23323.85,4122.364639388489,244.900425,4367.265064388489,7416.64870503597,107.28970999999999,7523.93841503597
2017-05-29 10:59:59.999253,46.7,14.9469,16.27683,15.476270000000003,15476.270000000002,2735.347217446044,162.50083500000002,2897.8480524460438,4921.231179856116,71.190842,4992.422021856116
2017-05-29 11:59:59.999253,47.1,13.6334,16.432389999999998,17.03421,17034.210000000003,3010.7047062949646,178.85920500000003,3189.563911294965,5416.6336834532385,78.35736600000001,5494.991049453239
2017-05-29 12:59:59.999253,47.1,11.1316,14.48008,21.48832,21488.320000000003,3797.944615827339,225.62736000000004,4023.571975827339,6832.976575539569,98.84627200000001,6931.822847539569
2017-05-29 13:59:59.999253,47.2,10.7996,15.893630000000002,20.506770000000003,20506.770000000004,3624.460949460433,215.32108500000007,3839.782034460433,6520.857798561154,94.33114200000001,6615.188940561154
2017-05-29 14:59:59.999253,48.0,10.7216,11.675,25.603399999999997,25603.399999999998,4525.262802158273,268.8357,4794.098502158273,8141.512805755396,117.77563999999998,8259.288445755396
2017-05-29 15:59:59.999252,48.6,10.214,9.70504,28.680960000000002,28680.960000000003,5069.204926618706,301.15008000000006,5370.355006618706,9120.132604316548,131.93241600000002,9252.065020316548
2017-05-29 16:59:59.999252,48.0,9.676219999999999,5.93361,32.39017,32390.17,5724.787780395683,340.096785,6064.884565395682,10299.608014388488,148.994782,10448.602796388488
2017-05-29 17:59:59.999252,47.5,6.67754,2.098897,38.723563,38723.563,6844.180820161871,406.5974115,7250.778231661871,12313.535860431655,178.1283898,12491.664250231655
2017-05-29 18:59:59.999252,47.2,7.87235,0.10546817,39.222181830000004,39222.18183,6932.309007975,411.83290921500003,7344.14191719,12472.089474000002,180.422036418,12652.511510418002
2017-05-29 19:59:59.999251,47.1,4.20035,0.0,42.89965,42899.65,7582.281664568346,450.44632500000006,8032.727989568346,13641.471438848921,197.33839,13838.809828848922
2017-05-29 20:59:59.999251,47.3,5.07098,0.0,42.22902,42229.02,7463.751430575539,443.40470999999997,7907.156140575539,13428.220748201438,194.253492,13622.474240201438
2017-05-29 21:59:59.999251,46.6,4.58159,0.0,42.01841,42018.41,7426.527249460432,441.19330500000007,7867.720554460432,13361.249798561152,193.28468600000002,13554.534484561153
2017-05-29 22:59:59.999251,43.5,4.99304,0.0,38.50696,38506.96,6805.897408633093,404.32308,7210.220488633093,12244.659223021583,177.132016,12421.791239021582
2017-05-29 23:59:59.999251,42.5,7.462479999999999,0.0,35.03752,35037.520000000004,6192.692608633095,367.89396000000005,6560.586568633095,11141.427223021585,161.172592,11302.599815021586
2017-05-30 00:59:59.999250,39.4,10.0933,0.0,29.3067,29306.7,5179.801095323742,307.72035000000005,5487.521445323742,9319.108920863311,134.81082,9453.919740863312
2017-05-30 01:59:59.999250,34.6,8.494819999999999,0.0,26.105180000000004,26105.180000000004,4613.949709712231,274.1043900000001,4888.054099712232,8301.071625899282,120.08382800000001,8421.155453899282
2017-05-30 02:59:59.999250,33.7,7.753439999999999,0.0,25.946560000000005,25946.560000000005,4585.91448057554,272.4388800000001,4858.35336057554,8250.63274820144,119.35417600000002,8369.986924201441
2017-05-30 03:59:59.999250,33.3,8.910540000000001,0.0,24.389459999999996,24389.459999999995,4310.7054571942435,256.08932999999996,4566.794787194243,7755.497352517985,112.19151599999998,7867.688868517985
2017-05-30 04:59:59.999250,32.8,7.89268,0.0,24.90732,24907.32,4402.234417985612,261.52686,4663.761277985612,7920.169381294964,114.573672,8034.743053294965
2017-05-30 05:59:59.999249,34.3,8.54591,0.0,25.754089999999998,25754.089999999997,4551.896446582733,270.417945,4822.314391582733,8189.4300575539555,118.46881399999998,8307.898871553956
2017-05-30 06:59:59.999249,35.3,8.21442,0.63645517,26.449124829999995,26449.124829999997,4674.740102597301,277.715810715,4952.455913312301,8410.441132992804,121.66597421799999,8532.107107210804
2017-05-30 07:59:59.999249,37.3,7.63684,3.6091040000000003,26.054055999999996,26054.055999999997,4604.913818561151,273.567588,4878.481406561151,8284.814929496402,119.84865759999998,8404.663587096402
2017-05-30 08:59:59.999249,40.8,8.23052,7.84383,24.725649999999998,24725.649999999998,4370.125225719425,259.619325,4629.744550719424,7862.400935251799,113.73798999999998,7976.138925251798
2017-05-30 09:59:59.999249,42.6,8.91047,12.98626,20.703270000000003,20703.270000000004,3659.191264208634,217.38433500000005,3876.5755992086342,6583.3419712230225,95.23504200000002,6678.577013223023
2017-05-30 10:59:59.999248,41.7,10.9063,13.878670000000001,16.91503,16915.030000000002,2989.6402843525184,177.60781500000004,3167.2480993525182,5378.736158273382,77.809138,5456.545296273382
2017-05-30 11:59:59.999248,42.5,9.27132,13.62817,19.600509999999996,19600.509999999995,3464.2843843525175,205.80535499999996,3670.0897393525174,6232.68015827338,90.16234599999997,6322.84250427338
2017-05-30 12:59:59.999248,45.3,8.40632,15.726689999999998,21.16699,21166.989999999998,3741.1512721223016,222.25339499999998,3963.404667122302,6730.798258992805,97.36815399999999,6828.166412992805
2017-05-30 13:59:59.999248,45.9,7.31125,17.07013,21.51862,21518.62,3803.2999773381293,225.94551,4029.2454873381294,6842.611539568345,98.98565199999999,6941.597191568345
2017-05-30 14:59:59.999248,46.3,8.67815,13.41662,24.205229999999993,24205.229999999992,4278.143798741006,254.15491499999993,4532.298713741006,7696.91486330935,111.34405799999996,7808.25892130935
2017-05-30 15:59:59.999247,45.8,10.2447,12.23533,23.319969999999998,23319.969999999998,4121.678870323741,244.85968499999998,4366.538555323741,7415.414920863309,107.27186199999998,7522.6867828633085
2017-05-30 16:59:59.999247,46.2,6.00239,7.271769999999999,32.92584000000001,32925.84000000001,5819.46456258993,345.72132000000016,6165.185882589931,10469.94336690648,151.45886400000006,10621.40223090648
2017-05-30 17:59:59.999247,47.2,5.699140000000001,2.3077110000000003,39.193149000000005,39193.149000000005,6927.177611924461,411.5280645000001,7338.705676424462,12462.857451798563,180.2884854,12643.145937198564
2017-05-30 18:59:59.999247,46.9,5.2453199999999995,0.10559517,41.54908483,41549.08483,7343.576557992985,436.265390715,7779.841948707985,13212.011147381294,191.125790218,13403.136937599294
2017-05-30 19:59:59.999246,47.2,5.423,0.0,41.777,41777.0,7383.859334532373,438.6585,7822.517834532373,13284.484892086331,192.17419999999998,13476.659092086331
2017-05-30 20:59:59.999246,48.8,5.0017700000000005,0.0,43.79823,43798.229999999996,7741.100831115108,459.881415,8200.982246115109,13927.206949640287,201.47185799999997,14128.678807640288
2017-05-30 21:59:59.999246,45.2,5.55795,0.0,39.642050000000005,39642.05,7006.518441546764,416.2415250000001,7422.759966546764,12605.601510791368,182.35343,12787.954940791367
2017-05-30 22:59:59.999246,42.7,5.11074,0.0,37.58926,37589.26,6643.698885251799,394.68723000000006,7038.386115251799,11952.84382733813,172.910596,12125.75442333813
2017-05-30 23:59:59.999246,41.1,4.74997,0.0,36.350030000000004,36350.030000000006,6424.671669244606,381.67531500000007,6806.346984244607,11558.786517985613,167.21013800000003,11725.996655985613
2017-05-31 00:59:59.999245,38.3,6.32501,0.0,31.97499,31974.989999999998,5651.4069555755395,335.737395,5987.14435057554,10167.586748201438,147.08495399999998,10314.671702201438
2017-05-31 01:59:59.999245,35.5,7.39119,0.0,28.10881,28108.809999999998,4968.080501258993,295.14250499999997,5263.223006258992,8938.197136690647,129.300526,9067.497662690646
2017-05-31 02:59:59.999245,35.0,6.2665,0.0,28.7335,28733.5,5078.491088129496,301.70175,5380.1928381294965,9136.839568345324,132.1741,9269.013668345324
2017-05-31 03:59:59.999245,34.4,6.68499,0.0,27.71501,27715.01,4898.478476079136,291.007605,5189.486081079136,8812.974402877697,127.48904599999999,8940.463448877697
2017-05-31 04:59:59.999245,35.3,6.85528,0.0,28.444719999999997,28444.719999999998,5027.450781294964,298.66956,5326.120341294964,9045.011683453236,130.845712,9175.857395453237
2017-05-31 05:59:59.999244,36.8,8.6429,0.0,28.1571,28157.1,4976.615498201439,295.64955,5272.265048201439,8953.552661870504,129.52266,9083.075321870505
2017-05-31 06:59:59.999244,34.4,8.55693,0.7900575,25.053012499999998,25053.012499999997,4427.984781249999,263.05663125,4691.041412499999,7966.4974999999995,115.24385749999999,8081.741357499999
2017-05-31 07:59:59.999244,40.0,8.22818,4.190386999999999,27.581432999999997,27581.432999999997,4874.869462068345,289.6050465,5164.474508568344,8770.498838848922,126.87459179999999,8897.373430648922
2017-05-31 08:59:59.999244,41.3,8.17578,9.547630000000002,23.576589999999992,23576.589999999993,4167.035070683452,247.55419499999994,4414.589265683452,7497.016388489206,108.45231399999996,7605.468702489206
2017-05-31 09:59:59.999244,43.7,6.86927,12.49238,24.338350000000002,24338.350000000002,4301.672040467627,255.55267500000005,4557.224715467627,7739.24510791367,111.95641,7851.20151791367
2017-05-31 10:59:59.999243,45.5,7.97454,17.38563,20.139830000000003,20139.83,3559.6062843525187,211.46821500000004,3771.0744993525186,6404.176158273382,92.643218,6496.819376273382
2017-05-31 11:59:59.999243,46.1,6.72694,17.34585,22.027210000000004,22027.210000000003,3893.1905156474822,231.28570500000004,4124.4762206474825,7004.33584172662,101.32516600000001,7105.66100772662
2017-05-31 12:59:59.999243,46.4,6.91826,15.77809,23.703650000000003,23703.65,4189.492240107914,248.88832500000004,4438.380565107914,7537.419640287771,109.03679000000001,7646.456430287771
2017-05-31 13:59:59.999243,44.9,4.419149999999999,16.15146,24.329389999999997,24329.389999999996,4300.08840881295,255.45859499999997,4555.54700381295,7736.395956834532,111.91519399999999,7848.311150834532
2017-05-31 14:59:59.999242,46.4,4.152430000000001,13.160950000000001,29.086619999999996,29086.619999999995,5140.903142805755,305.40950999999995,5446.312652805755,9249.126647482013,133.79845199999997,9382.925099482012
2017-05-31 15:59:59.999242,47.2,5.18989,9.26672,32.743390000000005,32743.390000000007,5787.2175095323755,343.8055950000001,6131.023104532375,10411.926892086332,150.61959400000003,10562.546486086332
2017-05-31 16:59:59.999242,46.6,3.2111799999999997,7.06208,36.32674,36326.74,6420.555287410071,381.43077,6801.986057410071,11551.380633093524,167.103004,11718.483637093525
2017-05-31 17:59:59.999242,46.5,3.4145700000000003,2.426782,40.658648,40658.648,7186.196652805756,426.91580400000004,7613.112456805756,12928.865047482015,187.0297808,13115.894828282015
2017-05-31 18:59:59.999242,46.4,3.5415799999999997,0.11313117,42.74528882999999,42745.28882999999,7554.999160654854,448.82553271499995,8003.824693369854,13592.386807812947,196.62832861799995,13789.015136430948
2017-05-31 19:59:59.999241,47.2,3.43975,0.0,43.76025,43760.25,7734.388071043166,459.48262500000004,8193.870696043166,13915.129856115109,201.29715,14116.42700611511
2017-05-31 20:59:59.999241,47.7,2.2171399999999997,0.0,45.48286,45482.86,8038.850093884893,477.57003000000003,8516.420123884893,14462.895050359713,209.221156,14672.116206359713
2017-05-31 21:59:59.999241,46.1,1.4640499999999999,0.0,44.63595,44635.950000000004,7889.163321043166,468.6774750000001,8357.840796043167,14193.589856115108,205.32537000000002,14398.915226115108
2017-05-31 22:59:59.999241,44.0,1.90034,0.0,42.09966,42099.66,7440.887748561152,442.04643000000004,7882.934178561152,13387.086129496403,193.65843600000002,13580.744565496403
2017-05-31 23:59:59.999241,39.6,2.76934,0.0,36.83066,36830.66,6509.620428417266,386.72193000000004,6896.342358417266,11711.619942446046,169.42103600000002,11881.040978446046
2017-06-01 00:59:59.999240,35.5,3.4751999999999996,0.0,32.0248,32024.8,5660.210604316546,336.2604,5996.471004316546,10183.425611510791,147.31408,10330.739691510791
2017-06-01 01:59:59.999240,36.0,2.7518200000000004,0.0,33.24818,33248.18,5876.4364183453245,349.10589000000004,6225.542308345324,10572.442848920864,152.941628,10725.384476920864
2017-06-01 02:59:59.999240,36.1,1.84891,0.0,34.251090000000005,34251.090000000004,6053.695349460432,359.63644500000004,6413.331794460432,10891.353798561155,157.55501400000003,11048.908812561154
2017-06-01 03:59:59.999240,34.1,0.822246,0.0,33.277754,33277.754,5881.663463273381,349.416417,6231.079880273382,10581.846955395684,153.0776684,10734.924623795683
2017-06-01 04:59:59.999240,34.1,0.618878,0.0,33.481122,33481.121999999996,5917.607659964028,351.551781,6269.159440964028,10646.515053237408,154.01316119999998,10800.528214437409
2017-06-01 05:59:59.999239,33.1,0.390591,0.0,32.709409,32709.409,5781.211551133093,343.4487945,6124.660345633093,10401.121423021585,150.4632814,10551.584704421584
2017-06-01 06:59:59.999239,34.3,0.7163780000000001,0.54891917,33.03470283,33034.70283,5838.705480403059,346.86437971500004,6185.569860118058,10504.56018047482,151.959633018,10656.51981349282
2017-06-01 07:59:59.999239,34.6,1.01922,4.48768,29.093100000000003,29093.100000000002,5142.048447841727,305.47755000000006,5447.525997841727,9251.187194244605,133.82826,9385.015454244605
2017-06-01 08:59:59.999239,38.0,1.33573,7.563879999999999,29.100390000000004,29100.390000000003,5143.336916007194,305.5540950000001,5448.891011007195,9253.50530935252,133.861794,9387.36710335252
2017-06-01 09:59:59.999239,38.6,0.69375,13.79952,24.10673,24106.73,4260.734455215827,253.120665,4513.855120215828,7665.59328057554,110.890958,7776.48423857554
2017-06-01 10:59:59.999238,41.4,0.754841,10.71957,29.925589000000002,29925.589000000004,5289.1863867446045,314.21868450000005,5603.405071244604,9515.906717985614,137.65770940000002,9653.564427385614
2017-06-01 11:59:59.999238,42.3,0.7633719999999999,19.093439999999998,22.443188000000003,22443.188000000002,3966.7123826618713,235.65347400000005,4202.3658566618715,7136.610860431656,103.23866480000001,7239.849525231656
